,Starch Flow,Amina Flow,Ore Pulp Flow,Ore Pulp pH,Ore Pulp Density,% Iron Concentrate,% Silica Concentrate
inter,6300.22797404,497.84400000000005,42.389999999999986,2.05476,0.33328,13.122059219999997,4.76
miner,0.00202596,241.694,376.25,8.75334,1.51982,58.21542896,0.77
